time,des_dof_pos_left_ankle_pitch_joint,dof_pos_left_ankle_pitch_joint,dof_vel_left_ankle_pitch_joint,des_dof_pos_left_ankle_roll_joint,dof_pos_left_ankle_roll_joint,dof_vel_left_ankle_roll_joint,des_dof_pos_left_hip_pitch_joint,dof_pos_left_hip_pitch_joint,dof_vel_left_hip_pitch_joint,des_dof_pos_left_hip_roll_joint,dof_pos_left_hip_roll_joint,dof_vel_left_hip_roll_joint,des_dof_pos_left_hip_yaw_joint,dof_pos_left_hip_yaw_joint,dof_vel_left_hip_yaw_joint,des_dof_pos_left_knee_joint,dof_pos_left_knee_joint,dof_vel_left_knee_joint,des_dof_pos_waist_yaw_joint,dof_pos_waist_yaw_joint,dof_vel_waist_yaw_joint
8.756,-0.7440613469762332,-0.36873290019708554,-7.313551670871357,-0.29043678456873284,-0.0728214014449355,-5.681634014013736,-0.5808735691374657,0.035207260243430474,-8.139690825127568,-0.0840613213688045,0.3180107407176302,-4.995023214799928,-0.484061327552729,0.002378764092451028,-8.593270449104038,0.31912640686253435,0.8141370763819875,-10.248182172514692,0.0,-0.011873370163401816,4.250129887135571
8.758,-0.7352300327877161,-0.3838827079230769,-7.301349892495726,-0.28513802492128804,-0.08370827517307693,-5.329046249,-0.5702760498425761,0.018874657207264955,-7.931896592709402,-0.07523005752653548,0.3078995178653846,-4.978119288149573,-0.4752300701341681,-0.015115326414529916,-8.617263468147435,0.32972392783899823,0.793917784638889,-9.810102515277778,0.0,-0.003322927811965812,4.211017869824786
8.76,-0.724532864222315,-0.39763643757264955,-6.903226825754037,-0.2787197178667302,-0.09402309739209402,-5.329046249,-0.5574394357049708,0.0032129568598053167,-7.909407412496676,-0.06453284513684587,0.2975856456826923,-4.914298642192071,-0.4645328442223149,-0.031924279275166195,-8.492661253805199,0.34256059858564786,0.775198961007716,-9.846573356182098,0.0,0.005081073600189933,4.346256857165479
8.762,-0.7120083902448883,-0.4106772255806221,-6.444162864765106,-0.27120501191749885,-0.10514342120033368,-5.572211586643666,-0.5424100228634093,-0.012512115453581218,-7.7558986650173996,-0.05200836949500713,0.28799631127005126,-4.883720834895007,-0.452008371097242,-0.04841574342676677,-8.270131069456799,0.3575899539889444,0.7560232087002741,-9.257155247245025,0.0,0.013902471754498866,4.2216921617606955
8.764,-0.6977439192335358,-0.42280322565854234,-6.053682770257624,-0.26264636887412174,-0.11537430053338042,-5.244281200078535,-0.5252927377482435,-0.02766831557317791,-7.64608637579854,-0.03774394090067881,0.27814574599175795,-4.856583161786648,-0.43774392920793137,-0.06470795544860473,-8.051600759651125,0.3747072674836251,0.7385915747619216,-8.96411512278241,0.0,0.02223830447957141,4.143221608817262
8.766,-0.681727053291811,-0.4343664780359066,-5.693189918901257,-0.2530362310603706,-0.12577179623877915,-5.034186686524237,-0.5060724621207412,-0.043070735140035905,-7.629973847868941,-0.021727061450448296,0.26889346300538597,-4.6508979658976655,-0.4217270615494321,-0.08050737212926391,-7.823459707820467,0.3939275138792588,0.7204989385529623,-8.618049727342909,0.0,0.03070967546319569,4.249233533283662
8.768,-0.6639825142677596,-0.44472008939181146,-5.065421428207808,-0.24238948784699454,-0.13535575428921687,-4.811143731848608,-0.4847789756939891,-0.058012069655796236,-7.396529992995478,-0.003982489486338798,0.25970054626826944,-4.510015575229945,-0.4039824932677596,-0.09621010977076887,-7.84060147962747,0.41522100112568305,0.7040132069228755,-8.104354902305403,0.0,0.038756554664127585,4.111753551229945
8.77,-0.644758102888,-0.45378970604923796,-4.638177402584407,-0.230854858616,-0.14441588004923797,-4.605896464795428,-0.461709717232,-0.07198405168581477,-7.232949856036928,0.015241913368,0.2510166049372802,-4.3096791700715125,-0.384758082608,-0.11205341158499414,-8.063158576375733,0.438290288768,0.6885327680005862,-7.761828297181712,0.0,0.04668057829249707,3.998861941024619
8.772,-0.6239146580255278,-0.4630735685929757,-4.287969548076016,-0.21834880360515327,-0.1533232701772913,-4.379918297274236,-0.43669760721030654,-0.08591859013615588,-6.872459894837864,0.036085327589765,0.24249667123839308,-4.1349076245208085,-0.36391466779494214,-0.1279234982691845,-7.716984781211932,0.4633023987896934,0.6734266365826317,-7.395551293952129,0.0,0.055179396254751024,4.186897547747655
8.774,-0.6016542983232589,-0.47087486444168075,-3.8448533448140543,-0.2049926021261498,-0.16149712185679788,-4.075533041701521,-0.4099852042260184,-0.09990439060275295,-6.559183692600821,0.05834567314980289,0.23509150697343636,-3.7937329008005314,-0.3416543365348226,-0.14232896801014247,-7.190281838986477,0.49001480098554534,0.6594172984049746,-7.033810864290751,0.0,0.06372582327191499,4.2484265913759955
